MSZoning,LotShape,BldgType,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive
0.5,0.6666666666666666,0.0,0.6666666666666665,0.03676470588235294,0.09836065573770493,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,1.0,0.35615474820438253,0.5777122882260084,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,1.0
0.5,0.6666666666666666,0.0,0.5555555555555556,0.22794117647058823,0.5245901639344263,0.6666666666666666,0.5,0.25,0.0,0.0,1.0,0.5030560164904583,0.4702445078729567,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
0.5,0.0,0.0,0.6666666666666665,0.051470588235294115,0.11475409836065574,0.3333333333333333,0.5,0.75,0.3333333333333333,0.0,1.0,0.3834410394874981,0.59309515868294,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
0.5,0.0,0.0,0.6666666666666665,0.6691176470588235,0.6065573770491803,0.6666666666666666,1.0,1.0,0.0,0.5,1.0,0.39994101331885457,0.5791574328965412,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,1.0,0.75,1.0
0.5,0.0,0.0,0.7777777777777777,0.058823529411764705,0.14754098360655737,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,1.0,0.4662370521602308,0.6665228823649914,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,1.0
0.5,0.0,0.0,0.4444444444444445,0.11764705882352941,0.2459016393442623,0.6666666666666666,0.5,1.0,0.3333333333333333,0.0,1.0,0.3286535459838906,0.4972202460326831,0.3333333333333333,1.0,0.0,0.0,1.0,0.5,1.0
0.5,0.6666666666666666,0.0,0.7777777777777777,0.022058823529411763,0.04918032786885246,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.6144648399515797,0.574386761705187,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0
0.5,0.0,0.0,0.6666666666666665,0.2647058823529412,0.6065573770491803,0.6666666666666666,0.5,0.75,0.0,0.0,1.0,0.45346455438611244,0.6486996026216678,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.5,1.0
0.75,0.6666666666666666,0.0,0.6666666666666665,0.5661764705882353,0.9672131147540984,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.42323069565212057,0.5907103163127223,0.0,1.0,0.6666666666666666,0.6000000000000001,1.0,0.5,1.0
0.5,0.6666666666666666,0.25,0.4444444444444445,0.5073529411764706,0.9672131147540984,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,1.0,0.44306737973260546,0.41416859178121257,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.25,1.0
